Client_ID,TARGET_3Y,TARGET_5Y,TO_FULL_HIST,NB_TRS_FULL_HIST,RECENCY,SENIORITY,RESIDENCY_MARKET,GENDER
Client_001,502777.78,502777.78,7635.45,2,89,100.0,,gender_3
Client_002,288150.0,288150.0,132043.4,5,31,155.0,Residency_Market_21,gender_3
Client_003,265624.97,265624.97,7233.33,1,2,2.0,Residency_Market_20,gender_4
Client_004,250000.0,250000.0,55000.0,1,55,55.0,Residency_Market_9,gender_2
Client_005,243754.17,243754.17,45659.85,6,126,311.0,Residency_Market_7,gender_1
Client_006,226000.0,226000.0,340110.12,12,22,119.0,Residency_Market_21,gender_2
Client_007,220000.0,220000.0,2375.9053543,1,1,1.0,Residency_Market_29,gender_3
Client_008,215416.67,215416.67,22541.67,2,34,41.0,,gender_4
Client_009,210083.33,210083.33,33345.04,2,75,109.0,,gender_3
Client_010,198827.31,236127.31,308570.44,4,40,115.0,Residency_Market_22,gender_2
Client_011,198750.01,198750.01,2998.681,1,96,96.0,Residency_Market_22,gender_2
Client_012,196025.0,196025.0,258549.99,6,14,78.0,Residency_Market_19,gender_2
Client_013,194166.67,194166.67,50066.8677,5,34,253.0,Residency_Market_7,gender_3
Client_014,192308.64,204441.98,26066.67,2,5,5.0,Residency_Market_29,gender_3
Client_015,186821.67,189946.67,72747.48,13,5,132.0,Residency_Market_7,gender_3
Client_016,185213.33,185213.33,163966.66,6,38,50.0,Residency_Market_6,gender_3
Client_017,179663.68,202917.01,64156.6335,9,7,242.0,Residency_Market_9,gender_3
Client_018,174308.33,174308.33,5267.56,1,108,108.0,Residency_Market_7,gender_2
Client_019,172750.0,196905.0,82416.67,3,41,58.0,Residency_Market_21,gender_2
Client_020,169266.605794,169266.605794,2045.472618,2,6,56.0,Residency_Market_18,gender_3
Client_021,164416.66,164416.66,108695.65,1,150,150.0,Residency_Market_19,gender_3
Client_022,162766.67,187433.34,44525.0,8,1,82.0,Residency_Market_7,gender_3
Client_023,158035.0,160826.67,150.17,2,69,155.0,Residency_Market_7,gender_2
Client_024,157319.6847561,160151.5735751,16392.2607229,7,19,96.0,Residency_Market_22,gender_2
Client_025,156166.67,157033.34,24291.67,2,15,26.0,Residency_Market_7,gender_1
Client_026,155833.33,155833.33,118333.33,1,18,18.0,Residency_Market_22,gender_3
Client_027,151666.67,151666.67,132500.0,2,14,81.0,Residency_Market_7,gender_2
Client_028,151600.0,151600.0,40000.0,1,22,56.0,,gender_2
Client_029,149750.0,149750.0,6806.02,1,85,85.0,Residency_Market_29,gender_3
Client_030,147543.8395274,147543.8395274,17816.066,3,12,17.0,,gender_1
Client_031,146585.36,146585.36,14027.2939,3,43,47.0,Residency_Market_25,gender_3
Client_032,146208.33,146208.33,5891.67,1,19,19.0,Residency_Market_19,gender_2
Client_033,144999.31,144999.31,2091.67,1,11,11.0,Residency_Market_31,gender_2
Client_034,144958.33,144958.33,16458.33,2,14,74.0,Residency_Market_20,gender_2
Client_035,143600.0,143600.0,147066.68,18,5,38.0,Residency_Market_4,gender_2
Client_036,142499.4534742,142499.4534742,99145.1678067,5,103,168.0,Residency_Market_25,gender_3
Client_037,142295.2132412,142295.2132412,6416.7534236,4,4,196.0,Residency_Market_25,gender_2
Client_038,138216.67,143008.34,37576.0488652,4,2,121.0,Residency_Market_7,gender_3
Client_039,138000.0,138000.0,169886.64,4,13,77.0,Residency_Market_6,gender_3
Client_040,136360.01,157260.01,12458.33,2,47,67.0,,gender_2
Client_041,136292.742,136292.742,32218.07,4,1,28.0,Residency_Market_17,gender_3
Client_042,134625.0,134625.0,6735.54,1,15,15.0,Residency_Market_29,gender_3
Client_043,134037.51,134037.51,12291.67,1,84,84.0,Residency_Market_22,gender_3
Client_044,133388.9797638,133388.9797638,1976.7951099,1,4,4.0,Residency_Market_4,gender_2
Client_045,132333.33,197416.66,112166.67,2,17,30.0,Residency_Market_23,gender_2
Client_046,132091.67,161083.33,48233.33,8,7,27.0,Residency_Market_7,gender_3
Client_047,130058.34,162450.01,151900.0,3,18,39.0,Residency_Market_19,gender_2
Client_048,129625.0,129625.0,1825.0,2,12,24.0,Residency_Market_7,gender_2
Client_049,125291.67,172300.0,32041.66,3,10,23.0,Residency_Market_7,gender_3
Client_050,122953.33,122953.33,48623.33,2,16,40.0,Residency_Market_19,gender_1
